key|fullname|lname|fname|minit|sex|dob|type|veteran|service|twin|maiden|cityob|stateob
543236666|one, patient a|one|patient|a|M|10/3/1959|SC VETERAN|Y|Y| N |Sheep|Flower Mound|TEXAS
888776666|two, patient b|two|patient|b|M|2/26/1932|SC VETERAN|Y|Y|N|Rivers|kingsland|ARIZONA
333224444|three, patient c|three|patient|c|M|3/30/1954|NSC|N|N|N|Clapp|Ripley|MASSACHUSETTS
666551234|four, patient d|four|patient|d|M|4/1/1955|SC VETERAN|Y|Y|N|Smith|Providence|RI
656454321|five, patient e|five|patient|e|M| 5/1/1922|SC VETERAN|Y|Y|N|Johnson|Springfield|MASSACHUSETTS
656451234|six, patient f|six|patient|f|M| 5/1/1941|NSC VETERAN|Y|Y|N|Johns|Canton|MASSACHUSETTS
656771234|seven, patient g|seven|patient|g|M| 5/2/1945|SC VETERAN|Y|Y|N|Davis|Boston|MASSACHUSETTS
655447777|eight, patient h|eight|patient|h|M|4/1/1933|SC VETERAN|Y|Y|N|Smith|Boston|MASSACHUSETTS
323554545|nine, patient i|nine|patient|i|M|1/1/1966|SC VETERAN|Y|Y|N|Douglas|Providence|RI
345238901|ten, patient j|ten|patient|j|M|4/1/1933|NSC VETERAN|Y|Y|N|White|Manchester|NH
345623902|eleven, patient k|eleven|patient|k|M|5/1/1933|SC VETERAN|Y|Y|N|Album|London|MASSACHUSETTS
345678233|twelve, patient l|twelve|patient|l|M|6/1/1933|NSC VETERAN|Y|Y|N|Abbey|Liverpool|MASSACHUSETTS
323678904|thirteen, patient m|thirteen|patient|m|M|7/7/1954|SC VETERAN|Y|Y|N|Road|Boston|MASSACHUSETTS
